Scenario Capacity Slack Demand DistanceTraveled RidingTime WaitingTime Obj ComputationTime
29_44 20 0.16 400 14.0488 211.346 2235.28 2460.68 34.2335
29_45 25 0.16 200 8.27572 105.861 32.3811 146.518 1.29445
29_46 25 0.16 200 8.73872 104.414 30.3171 143.469 1.81393
29_47 25 0.16 200 8.46821 106.06 29.6776 144.206 1.49734
29_48 25 0.16 300 10.787 160.586 401.958 573.33 6.44246
29_49 25 0.16 300 10.4411 163.389 383.674 557.504 6.38011
29_50 25 0.16 300 10.9198 165.833 427.773 604.526 6.58637
29_51 25 0.16 400 13.1215 215.425 1660.95 1889.5 21.5117
29_52 25 0.16 400 12.7384 218.995 1323.26 1555 19.6367
29_53 25 0.16 400 13.4541 219.937 1693 1926.39 23.1715
29_54 15 0.25 200 9.66199 138.377 123.399 271.438 2.58394
29_55 15 0.25 200 9.15805 137.011 78.7352 224.904 2.38218
29_56 15 0.25 200 9.28516 132.475 41.0347 182.795 2.52628
29_57 15 0.25 300 13.0504 214.007 1542.95 1770 12.9498
29_58 15 0.25 300 13.2134 205.708 1583.88 1802.8 15.8157
29_59 15 0.25 300 13.3112 209.627 1688.85 1911.79 18.8539
29_60 15 0.25 400 16.9822 273.877 4625.88 4916.74 57.7408
29_61 15 0.25 400 16.9588 272.135 4866.54 5155.64 61.8461
29_62 15 0.25 400 17.6244 275.797 4601.42 4894.84 58.959
29_63 20 0.25 200 8.70478 141.711 42.9523 193.368 1.86874
29_64 20 0.25 200 9.0462 140.873 44.4948 194.414 1.8884
29_65 20 0.25 200 8.4382 133.405 41.495 183.338 1.76888
29_66 20 0.25 300 11.024 211.96 403.737 626.721 7.61961
29_67 20 0.25 300 10.9307 206.307 450.579 667.816 8.15535
29_68 20 0.25 300 11.0195 207.588 397.045 615.652 7.03442
29_69 20 0.25 400 13.8682 281.11 2174.79 2469.76 23.2036
29_70 20 0.25 400 13.8864 274.631 2012.35 2300.87 20.9137
29_71 20 0.25 400 13.5296 290.058 1988.97 2292.56 21.2077
29_72 25 0.25 200 8.74338 137.185 36.5289 182.457 0.520541
29_73 25 0.25 200 8.71429 143.463 36.205 188.383 0.550983
29_74 25 0.25 200 8.7772 142.819 40.3624 191.959 0.577645
29_75 25 0.25 300 10.74 215.058 57.034 282.832 3.99555
29_76 25 0.25 300 10.399 211.808 63.2557 285.463 4.24886
29_77 25 0.25 300 10.701 209.312 61.2115 281.225 4.18358
29_78 25 0.25 400 12.7694 285.574 856.857 1155.2 11.5073
29_79 25 0.25 400 12.814 282.29 739.14 1034.24 11.1029
29_80 25 0.25 400 12.7039 287.447 688.26 988.411 14.2552
30_0 15 0.08 200 12.7641 35.5356 1440.5 1488.8 20.4043
30_1 15 0.08 200 11.8589 36.1254 1075.87 1123.85 13.8279
30_2 15 0.08 200 11.3727 34.5336 1070.71 1116.61 13.4469
30_3 15 0.08 300 16.7615 57.4268 2855.18 2929.37 62.6773
30_4 15 0.08 300 17.9215 55.7059 3308.15 3381.78 81.4117
30_5 15 0.08 300 18.5247 63.1253 3507.08 3588.73 96.725
30_6 15 0.08 400 23.1539 75.7917 6082.09 6181.04 279.705
30_7 15 0.08 400 25.3247 75.9537 7161.94 7263.22 396.72
30_8 15 0.08 400 23.1144 74.9569 6342.88 6440.96 278.35
30_9 20 0.08 200 11.3691 39.6678 1050.57 1101.61 12.8435
30_10 20 0.08 200 11.5996 37.5515 1203.48 1252.63 15.819
30_11 20 0.08 200 11.9955 40.1601 1184.33 1236.48 15.2803
30_12 20 0.08 300 18.5442 58.4772 3414.11 3491.13 85.6432
30_13 20 0.08 300 17.5454 60.8315 3132.11 3210.49 74.5568
30_14 20 0.08 300 18.7094 63.213 3350.86 3432.79 79.3549
30_15 20 0.08 400 24.1677 85.9119 6376.83 6486.91 270.358
30_16 20 0.08 400 23.4018 79.8293 6190.5 6293.73 264.232
30_17 20 0.08 400 24.0269 74.6864 6698.13 6796.84 298.881
30_18 25 0.08 200 12.2872 38.2221 1246.68 1297.19 16.3526
30_19 25 0.08 200 11.3904 36.3143 1228.09 1275.8 16.0629
30_20 25 0.08 200 12.5301 41.367 1369.73 1423.63 19.6376
30_21 25 0.08 300 19.3727 54.2008 3543.37 3616.94 88.6375
30_22 25 0.08 300 17.0896 59.6228 3156.99 3233.7 76.3823
30_23 25 0.08 300 18.3941 60.7949 3196.63 3275.82 79.9576
30_24 25 0.08 400 24.1211 69.9405 6384.31 6478.37 317.661
